id,image,status,sort_order,created_at,updated_at
6,/assets/images/banners/1756230426_free-photos-happy-republic-day-banner-with-indian-woman-in-kurta-on-grey-background-th-1004279962.webp,active,2,"2025-08-26 19:47:08","2025-08-31 13:19:44"
7,/assets/images/banners/1756639169_images.jpeg,active,1,"2025-08-31 13:19:31","2025-08-31 13:19:44"
5,/assets/images/banners/1756225642_2c351d41b78d9e98fd167a9e0902859f.jpg,active,3,"2025-08-26 18:27:23","2025-08-31 13:19:44"
3,/assets/images/banners/1755351790_Untitleddesign.png,active,4,"2025-08-16 15:43:14","2025-08-31 13:19:44"
2,/assets/images/banners/1755350656_2.jpg,active,5,"2025-08-16 15:24:21","2025-08-31 13:19:44"
1,/assets/images/banners/1755350628_3.jpg,active,6,"2025-08-16 15:23:49","2025-08-31 13:19:44"
4,/assets/images/banners/1756049408_Manufacturing.jpg,active,7,"2025-08-24 17:30:09","2025-08-31 13:19:44"
